"Product","Submission"
"Rapiscan 400 microgram solution for injection",2020-04-02
"Ocrevus 300mg concentrate for solution",2020-04-03
"Tagrisso 80 mg film-coated tablets 30x",2020-04-08
"Imfinzi 50mg/ml concentrate for solution, 1x120mg injection vial",2020-04-08
"Imfinzi 50mg/ml concentrate for solution, 1x500mg injection vial",2020-04-08
"Plaquenil 200 mg film-coated tablets, 60x",2020-04-15
"Aimovig 70 mg solution for injection in pre-filled pen,1x",2020-04-15
"Aimovig 140 mg solution for injection in pre-filled pen,1x",2020-04-15
"Venclyxto 100mg film-coated tablets 112x",2020-04-18
"Remsima 120 mg solution for injection in pre-filled pen, 4x",2020-04-21
"Jorveza 1 mg szájban diszpergálódó tablets, 90x",2020-04-22
"Lucetam 1200 mg film-coated tablets 60x üvegben",2020-04-22
"Kadcyla 100 mg powder for concentrate for solution for infusion , 1x 15 ml",2020-04-23
"Dupixent 200 mg solution for injection in pre-filled syringe, injekciós toll 2x",2020-04-29
"Praluent 75mg solution for injection in pre-filled pen, 2x",2020-05-01
"Praluent 150mg solution for injection in pre-filled pen, 2x",2020-05-01
"Lenvima 4 mg hard capsule, 30x",2020-05-07
"Memoril 1200 mg film-coated tablets, 60x",2020-05-15
"Imnovid 1mg hard capsule 14x",2020-05-21
"Keytruda 25mg/ml concentrate for solution, 1x",2020-05-21
"Emgality 120 mg solution for injection in pre-filled pen 1x",2020-05-28
"Opdivo 10mg/ml por concentrate for solution 1x4ml injection vial",2020-05-30
"Lynparza100mg film-coated tablets 56x",2020-05-30
"Lynparza150mg film-coated tablets 56x",2020-05-30
"Brilique 90 mg film-coated tablets 56x",2020-05-30
"Opdivo 10mg/ml concentrate for solution, 1x4ml injection vial",2020-05-30
"Mayzent 0,25mg film-coated tablets 12x",2020-06-04
"Mayzent 0,25mg film-coated tablets 120x",2020-06-04
"Mayzent 2mg film-coated tablets 28x",2020-06-04
"Refixia 500 ne powder and solvent for solution for injection, 1x",2020-06-10
"Skyrizi 75mg solution for injection in pre-filled syringe",2020-06-12
"Quamatel 20mg powder and solvent for solution for injection 5db porampulla és 5db oldószerampulla műanyag tálcán és dobozban",2020-06-30
"Xgeva 120 mg solution for injection, 1x",2020-07-01
"Rybelsus 3 mg tablets 30x",2020-07-01
"Opdivo 10mg/ml concentrate for solution, 1x4ml injection vial",2020-07-01
"Lysodren 500mg tablets",2020-07-01
"Polivy 140 mg powder for concentrate for solution for infusion 1x",2020-07-01
"Beovu 120mg/ml solution for injection in pre-filled syringe",2020-07-02
"Remodulin 2,5 mg/ml solution for infusion 1x20ml",2020-07-04
"Berinert 1500 ne powder and solvent for solution for injection, 1x porüveg+oldószerüveg (1500 ne+1x3 ml)",2020-07-14
"Mekinist 0,5mg film-coated tablets 30x",2020-07-04
"Mekinist 2mg film-coated tablets 30x",2020-07-04
"Tafinlar 50mg film-coated tablets 120x",2020-07-04
"Tafinlar 75mg film-coated tablets 120x",2020-07-04
"Alunbrig 180 mg film-coated tablets, 28x in blister",2020-07-17
"Zejula 100 mg hard capsule, 56x",2020-07-17
"Repatha 140 mg solution for injection in pre-filled pen, 2x",2020-07-21
"Bronchitol 40mg inhalation powder,  hard capsule, 280x",2020-07-23
"Hemlibra 150mg/ml solution for injection, 1x60 mg/0,4ml injection vial",2020-07-23
"Erleada 60 mg film-coated tablets, 112x",2020-07-23
"Elmiron 100 mg hard capsule, 90x hdpe palackban",2020-07-28
"Darzalex 1800 mg solution for injection, 1x",2020-07-29
"Azacitidine stada 25 mg/ml por suspension for injectionhoz, 1x",2020-08-01
"Ocrevus 300mg concentrate for solution, 1x",2020-08-01
"Revolade 25mg film-coated tablets, 28x in blister",2020-08-06
"Revolade 50mg film-coated tablets, 28x in blister",2020-08-06
"Leuprorelin pharmacenter 11,25 mg implantátum in pre-filled syringes",2020-08-13
"Aprepitant q pharma 125mg hard capsule+ aprepitant q pharma 80 mg hard capsule, 1x1db 125mg + 2x1db  80mg capsule",2020-08-28
"Xeljanz 5mg film-coated tablets 56x",2020-09-09
"Pentaglobin 50 mg/ml solution for infusion 50 ml",2020-09-11
"Mylotarg 5 mg powder for concentrate for solution for infusion, 1x",2020-09-11
"Latuda 37 mg film-coated tablets, 28x",2020-09-12
"Cosentyx 150mg solution for injection in pre-filled pen 1x",2020-09-12
"Xarelto 2,5 mg film-coated tablets, 56x",2020-09-23
"Tecentriq 1200 mg concentrate for solution 1x20 ml",2020-09-25
"Oncaspar 750 e/ml por solution for injectionhoz/infusionhoz, 1x",2020-09-25
"Bavencio 20mg/ml concentrate for solution, 1x10 ml",2020-09-02
"Ultomiris 300 mg concentrate for solution, 1x",2020-09-30
"Rydapt 25mg soft capsule, 56x",2020-10-03
"Fragmin 2500 ne/0,2 ml solution for injection in pre-filled syringe, 10x0,2 ml in pre-filled syringes",2020-10-08
"Fragmin 5000 ne/0,2 ml solution for injection in pre-filled syringe, 10x0,2 ml in pre-filled syringes",2020-10-08
"Fragmin 7500 ne/0,3 ml solution for injection in pre-filled syringe, 10x0,3ml in pre-filled syringes",2020-10-08
"Fragmin 10.000 ne/0,4 ml solution for injection in pre-filled syringe, 5x0,4ml in pre-filled syringes",2020-10-08
"Fragmin 15.000 ne/0,6 ml solution for injection in pre-filled syringe, 5x0,6ml in pre-filled syringes",2020-10-08
"Fragmin 12.500 ne/0,5 ml solution for injection in pre-filled syringe, 5x0,5ml in pre-filled syringes",2020-10-08
"Azacitidine accord 25 mg/ml por suspension for injectionhoz, 1x",2020-10-09
"Vitamin b komplex bioextra soft capsule, 20x",2020-10-14
"Vitamin b komplex bioextra soft capsule, 100x",2020-10-14
"Vitamin d3 3000 ne bioextra soft capsule, 20x",2020-10-13
"Vitamin d3 3000 ne bioextra soft capsule, 100x",2020-10-13
"Azacitidin sandoz 25 mg/ml por suspension for injectionhoz, 1x injection vial",2020-10-20
"Cimzia 200 mg solution for injection, 2x1 ml",2020-10-28
"Azacitidine zentiva 25mg/ml por suspension for injectionhoz",2020-10-29
"Medrol 4mg tablets 100x",2020-10-30
"Medrol 16mg tablets 50x",2020-10-30
"Medrol 32mg tablets 20x",2020-10-30
"Medrol 100mg tablets 20x",2020-10-30
"Dupixent 300 mg solution for injection in pre-filled pen,2x in pre-filled pen",2020-10-31
"Dupixent 200 mg solution for injection in pre-filled pen, 2x in pre-filled pen",2020-10-31
"Imnovid 1mg hard capsule 14x",2020-10-31
"Prevymis 240 mg film-coated tablets, 28x1 dosesonként perforált in blister",2020-11-10
"Prevymis 240 mg concentrate for solution, 1x12ml injection vial",2020-11-10
"Piqray 50mg film-coated tablets , 28x+200mg film-coated tablets 28x",2020-11-14
"Piqray 150mg film-coated tablets  56x",2020-11-14
"Piqray 200mg film-coated tablets  28x",2020-11-14
"Rozlytrek 200 mg hard capsule 90x",2020-11-14
"Sabacomb 250 microgram/ 100 microgram pressurized inhalation suspension, 1 x 200 doses",2020-11-21
"Stelara 45 mg solution for injection in pre-filled syringe, 1x",2020-11-25
"Haloperidol-richter 5mg/ml solution for injection, 5x1ml",2020-11-26
"Sarclisa 20mg/ml concentrate for solution 1x5ml injekciós üvegban",2020-11-27
"Sarclisa 20mg/ml concentrate for solution 1x25ml injekciós üvegban",2020-11-27
"Keytruda 25mg/ml concentrate for solution, 1x4ml injection vial",2020-12-02
"Olumiant 2mg film-coated tablets 35x",2020-12-02
"Olumiant 4mg film-coated tablets 35x",2020-12-02
"Remsima120mg solution for injection in pre-filled pen, 4x",2020-12-03
"Ofev 100 mg soft capsule 60x",2020-12-04
"Ofev 150 mg soft capsule 60x",2020-12-04
"Keytruda 25mg/ml concentrate for solution, 1x4ml injection vial",2020-12-04
"Amlodipin/valsartan/hct sandoz 5mg/160mg/12,5mg film-coated tablets 28x",2020-12-11
"Amlodipin/valsartan/hct sandoz 10mg/160mg/12,5mg film-coated tablets 28x",2020-12-11
"Jivi 500ne powder and solvent for solution for injection 1x",2020-12-11
"Prevenar 13 suspension for injection, 1x0,5ml in pre-filled syringes különálló tűvel",2020-12-13
"Thiotep 600 mg film-coated tablets, 30x",2020-12-16
"Thiotep 600 mg film-coated tablets, 60x",2020-12-16
"Tecentriq 840 mg concentrate for solution, 1x14 ml injection vial",2020-12-17
"Synagis 100 mg/ml solution for injection, 1x0,5ml injection vial",2020-12-18
"Spravato 28 mg oldatos orrspray",2020-12-18
"Cabometyx 20mg film-coated tablets, 30x",2020-12-18
"Lutathera 370 mbq/ml solution for infusion, 1x injection vial",2020-12-19
"Xarelto 2,5 mg film-coated tablets, 56x",2020-12-19
"Erleada 60 mg film-coated tablets, 112x",2020-12-23
"Dysport 500 e por solution for injectionhoz, 1x injection vial",2020-12-29
"Nubeqa 300 mg film-coated tablets, 112x",2020-12-30
"Entyvio 108 mg solution for injection in pre-filled pen, 2x",2020-12-31
"Kymriah 1,2x10^6-6x10^8 cells dispersion for infusion",2021-01-01
"Ajovy 225 mg solution for injection in pre-filled pen, 1x",2021-01-06
"C-vitamin teva 500 mg rágótablets 60x",2021-01-08
"Hizentra 200 mg/ml solution for injection bőr alá történő beadására in pre-filled syringes, 1x10 ml",2021-01-12
"Fiasp 100 egység/ml solution for injection in pre-filled pen",2021-01-12
"Fiasp 100 egység/ml solution for injection  injection vial",2021-01-12
"Libtayo 350mg koncentrátum oldatos infúuióhoz",2021-01-13
"Fraxodi 15200 ne/0,8 ml solution for injection, 10x0,8ml in pre-filled syringes",2021-01-27
"Fraxiparine 3800 ne/0,4 ml solution for injection, 10x0,4ml in pre-filled syringes",2021-01-27
"Imbruvica 140mg kemény film-coated tablets 28x1",2021-01-28
"Imbruvica 280mg kemény film-coated tablets 28x1",2021-01-28
"Imbruvica 420mg kemény film-coated tablets 28x1",2021-01-28
"Rxulti 1 mg film-coated tablets",2021-01-30
"Thioctic acid zentiva 600 mg film-coated tablets, 60x in blister",2021-01-30
"Thioctic acid zentiva 600 mg film-coated tablets, 30x in blister",2021-01-30
"Tecentriq 1200 mg concentrate for solution 1x20 ml",2021-01-30
"Enerzair breezhaler 114 microgram/46 microgram/136 microgram inhalation powder kemény kapszulában,  30x",2021-02-06
