"Product","Submission"
"Cabometyx",2020-07-03
"Opdivo",2020-07-02
"Leukine",2020-06-30
"Cabometyx",2020-06-26
"Tagrisso",2020-06-08
"Captimer",2020-06-01
"Avastin",2020-06-02
"Fasenra",2020-06-15
"Prevymis",2020-06-12
"Prevymis",2020-06-12
"Yervoy",2020-06-12
"Yervoy",2020-06-12
"Opdivo",2020-06-12
"Opdivo",2020-06-12
"Entyvio",2020-06-12
"Venclyxto",2020-06-15
"Afinitor",2020-06-15
"Adcetris",2020-06-10
"Ajovy",2020-06-02
"Taptiqom",2020-06-09
"Tagrisso",2020-06-09
"Xtandi",NA
"Keytruda",NA
"Opdivo",NA
"Afinitor",2020-06-02
"Takhzyro",2020-06-02
"Tagrisso",2020-05-25
"Nexavar",2020-05-25
"Libtayo",2020-05-28
"Libtayo",2020-05-28
"Sprycel",2020-05-26
"Hexacima",2020-05-22
"Hyrimoz",2020-05-22
"Stivarga",2020-05-22
"Afinitor",2020-05-19
"Keytruda",2020-05-19
"Libtayo",2020-05-20
"Soliris",2020-05-19
"Libtayo",2020-04-30
"Imfinzi",2020-04-30
"Sutent",2020-05-14
"Acarizax",2020-05-14
"Tagrisso",2020-04-28
"Kanjinti",2020-05-08
"Perjeta",2020-05-08
"RenaStart",2020-05-06
"Rinvoq",2020-04-30
"Tasigna",2020-05-05
"Revolade",2020-05-05
"Bedrolite",2020-04-30
"Yervoy",2020-04-28
"Tagrisso",2020-05-06
"Keytruda",2020-04-24
"Tagrisso",2020-04-24
"Quinsair",2020-04-22
"Votrient",2020-04-21
"Zydelig",2020-04-17
"Stivarga",2020-04-17
"Opdivo",2020-04-14
"Avastin",2020-04-08
"Lorviqua",2020-04-08
"Erbitux",2020-04-08
"Betaferon",2020-04-08
"Venclyxto",2020-04-07
"Perjeta",2020-04-07
"Kadcyla",2020-04-06
"Epidyolex",2020-04-01
"Vitrakvi",2020-04-01
"Avastin",2020-04-01
"Repatha",2020-03-31
"Blincyto",2020-03-31
"MabThera",2020-03-31
"Avastin",2020-03-31
"Venclyxto",2020-03-31
"Nerlynx",2020-03-30
"Aimovig",2020-03-30
"Forxiga",2020-03-30
"Imbruvica",2020-03-26
"Tagrisso",2020-03-25
"Tagrisso",2020-03-25
"Yervoy",2020-03-25
"Repatha",2020-03-25
"Firdapse",2020-03-18
"Opdivo",2020-03-16
"Dupixent",2020-03-10
"Tagrisso",2020-03-09
"Ilumetri",2020-03-05
"Votrient",2020-02-28
"Alunbrig",2020-02-24
"Tecentriq",2020-02-24
"Lynparza",2020-02-18
"Metopirone",2020-02-13
"Fasenra",2020-02-12
"Pixuvri",2020-02-12
"Jakavi",2020-02-12
"Praluent",2020-02-11
"Imraldi",2020-02-11
"Alecensa",2020-02-06
"Kadcyla",2020-02-05
"Roactemra",2020-02-05
"Opdivo",2020-02-04
"Yervoy",2020-02-04
"Revlimid",2020-02-04
"Ofev",2020-02-04
"Cabometyx",2020-02-04
"Tecentriq",2020-02-03
"Vectibix",2020-02-03
"Cyramza",2020-02-03
"Avastin",2020-01-30
"Vizimpro",2020-01-29
"Imfinzi",2020-01-30
"Mylotarg",2020-01-29
"Takhzyro",2020-01-28
"Opdivo",2020-01-20
"Zessly",2020-01-20
"L-karnityna",2020-01-16
"Rizmoic",2020-01-14
"Darzalex",2020-01-14
"Kisqali",2020-01-14
"Darzalex",2020-01-13
"MabThera",2020-01-13
"Imbruvica",2020-01-13
"Fotivda",2020-01-09
"Valtricom",2020-01-07
"Reagila",2020-01-07
"Keytruda",2020-01-03
"Liquigen",2020-01-03
